accuracy,threat_precision,threat_recall,threat_f1,auc,false_proximity_alerts,missed_threats,tn_non_threat,tp_threat,fold,test_day,n_train,n_test
0.9064320081033173,0.9113725490196078,0.8191751850546352,0.8628178949322443,0.9457739302748277,226,513,4835,2324,1,2023-06-16,66869,7898
0.9242107706592386,0.9101338432122371,0.8506075768406004,0.8793644928874931,0.9667829510889157,235,418,5583,2380,2,2023-06-17,66151,8616
0.9253714020427113,0.9059961315280464,0.8541210795040116,0.8792941618171579,0.9660997591780911,243,400,5631,2342,3,2023-06-18,66151,8616
0.90169452181987,0.9313241106719368,0.7269571924411878,0.8165475416937406,0.9336187755396318,139,708,5884,1885,4,2023-06-19,66151,8616
0.8962395543175488,0.9340786430223593,0.770184361093452,0.8442508710801394,0.9564502847991297,171,723,5299,2423,5,2023-06-20,66151,8616
0.9388940213804936,0.8977732793522267,0.8717444717444718,0.8845674395412615,0.9718174458701344,202,261,5340,1774,6,2023-06-21,67190,7577
0.8989448051948052,0.8563049853372434,0.8957055214723927,0.8755622188905547,0.9527842687166106,147,102,1339,876,7,2023-06-22,72303,2464
0.9193361188486536,0.954158215010142,0.8016359918200409,0.8712724578625671,0.9569077129681817,113,582,5569,2352,8,2023-06-23,66151,8616
0.9264159702878366,0.9071917808219178,0.8794820717131474,0.8931220498988537,0.9714545043712847,271,363,5333,2649,9,2023-06-24,66151,8616
0.9536243180046765,0.9146341463414634,0.8823529411764706,0.8982035928143712,0.97849063521908,98,140,3844,1050,10,2023-06-25,69635,5132
