day,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
2023-06-16,0.8883572567783095,0.7861679604798871,0.8341445151628604,2834.0,0.8874860750092833,0.9446640316205533,0.9151828451081754,5060.0,0.8877628578667343,0.8879216658937964,0.8654159960502202,0.8746636801355179,7894.0,0.8877988352238032,0.8877628578667343,0.8860895303038908,7894.0
2023-06-17,0.9167662285941856,0.8233190271816881,0.8675334463915583,2796.0,0.919029667267661,0.9640646492434664,0.9410086431148779,5816.0,0.9183697166744078,0.9178979479309233,0.8936918382125772,0.9042710447532181,8612.0,0.9182948118878378,0.9183697166744078,0.9171539461759088,8612.0
2023-06-18,0.8755250095456281,0.8368613138686132,0.8557566710207128,2740.0,0.9254129818121142,0.9444822888283378,0.934850400337126,5872.0,0.9102415234556432,0.9004689956788712,0.8906718013484756,0.8953035356789194,8612.0,0.9095405893353176,0.9102415234556432,0.9096858835783043,8612.0
2023-06-19,0.9222050489438434,0.6908529525279815,0.7899382171226832,2591.0,0.8799280467695998,0.9749211094502575,0.9249921210211156,6021.0,0.8894565722248026,0.9010665478567216,0.8328870309891194,0.8574651690718994,8612.0,0.8926474746183533,0.8894565722248026,0.8843599026048549,8612.0
2023-06-20,0.8955436720142602,0.7992363983455297,0.8446536650975117,3143.0,0.8913380402961942,0.9464253062717133,0.9180560482440582,5469.0,0.8927078495123084,0.8934408561552272,0.8728308523086215,0.881354856670785,8612.0,0.8928729103019862,0.8927078495123084,0.8912674172373705,8612.0
2023-06-21,0.8787878787878788,0.8558780127889818,0.8671816596062796,2033.0,0.9476130877883068,0.9566787003610109,0.9521243150992544,5540.0,0.929618381090717,0.9132004832880928,0.9062783565749963,0.909652987352767,7573.0,0.9291367045983069,0.929618381090717,0.929321143487315,7573.0
2023-06-22,0.7014361300075586,0.9488752556237219,0.8066058235549761,978.0,0.9560246262093228,0.733468286099865,0.8300878197785414,1482.0,0.8191056910569106,0.8287303781084407,0.8411717708617934,0.8183468216667588,2460.0,0.8548101752803288,0.8191056910569106,0.8207522944506362,2460.0
2023-06-23,0.9292320064334539,0.7876618950238582,0.8526102195166944,2934.0,0.8982857142857142,0.9690031701303276,0.9323053460984495,5678.0,0.9072224802601022,0.9137588603595841,0.8783325325770929,0.8924577828075719,8612.0,0.9088287264967534,0.9072224802601022,0.9051542196015998,8612.0
2023-06-24,0.8977433004231312,0.8452855245683931,0.8707250341997264,3012.0,0.9193213296398892,0.9482142857142857,0.9335443037974683,5600.0,0.9122155132373433,0.9085323150315102,0.8967499051413395,0.9021346689985974,8612.0,0.9117745316834476,0.9122155132373433,0.9115736070918948,8612.0
2023-06-25,0.900626678603402,0.8453781512605042,0.8721283051582142,1190.0,0.9541261530790327,0.9718131030980193,0.9628884136369354,3938.0,0.9424726989079563,0.9273764158412173,0.9085956271792617,0.9175083593975748,5128.0,0.9417111034249763,0.9424726989079563,0.9418266879954225,5128.0
macro avg,0.8806223210131652,0.8219516491669159,0.8461277556831215,2425.1,0.9178565722157117,0.9353734930817839,0.9245040256236002,5047.6,0.9009173284286925,0.8992394466144384,0.8786625711243499,0.8853158906533609,7472.7,0.904741586285111,0.9009173284286925,0.89971846325272,7472.7
fold-weighted avg,0.8931031288598339,0.810523277390623,0.847375135881886,24251.0,0.9136059741355971,0.9510460416831762,0.931169078131681,50476.0,0.9054424772839803,0.9036469999501309,0.8800967900243448,0.8890922659257773,74727.0,0.9069522278219149,0.9054424772839803,0.9039756019651043,74727.0
bootstrap final results,-,-,"0.8476 (0.8304, 0.8607)",-,-,-,"0.9314 (0.9211, 0.9409)",-,"0.9054 (0.8937, 0.9166)",-,-,-,-,-,-,"0.9043 (0.8927, 0.9156)",-
