feature_index,gain_importance,rank
2672,0.17871048,1
2204,0.013367075,2
2211,0.01243436,3
2671,0.011855602,4
2665,0.011697416,5
1674,0.011513039,6
2210,0.008303323,7
1680,0.007219996,8
2650,0.005422924,9
2213,0.0042137904,10
1144,0.004136028,11
2207,0.0032984489,12
84,0.0032230197,13
91,0.0028494648,14
2615,0.0028104584,15
1681,0.002149711,16
1151,0.0018734597,17
1,0.0016635865,18
2078,0.0016551334,19
2201,0.0016470785,20
81,0.0016010212,21
1550,0.0015664896,22
531,0.0015405791,23
2216,0.0015207358,24
1677,0.00150733,25
2215,0.0014557287,26
1545,0.0013121384,27
2670,0.0012967157,28
1150,0.0012922572,29
2080,0.001278518,30
1683,0.0012496752,31
2666,0.0012341654,32
1591,0.0012188463,33
490,0.0012147867,34
620,0.0011991533,35
96,0.0011907292,36
2612,0.001153509,37
1020,0.0011397494,38
2622,0.0011185283,39
2640,0.001113997,40
2121,0.0011070691,41
281,0.0010862625,42
2686,0.0010383164,43
2625,0.0010016073,44
2660,0.0009944722,45
2110,0.000992213,46
1360,0.0009885129,47
2,0.0009420011,48
1149,0.0009291832,49
2092,0.0009016913,50
505,0.0008955604,51
2120,0.0008773793,52
611,0.00087581034,53
2605,0.0008719127,54
623,0.0008647798,55
530,0.00086240255,56
1010,0.00085411733,57
2105,0.00084599777,58
2611,0.0008428096,59
493,0.00083134574,60
2675,0.00082589744,61
3,0.00081853854,62
2077,0.00081767817,63
1011,0.00081236474,64
1979,0.0007995253,65
1580,0.00079813245,66
1551,0.00078347273,67
2641,0.00078016944,68
1015,0.0007768693,69
833,0.00077289005,70
2421,0.0007725984,71
276,0.0007713611,72
481,0.0007693744,73
2082,0.0007687763,74
2071,0.00076642266,75
2383,0.0007560743,76
1562,0.000750863,77
2186,0.0007438736,78
93,0.0007425492,79
831,0.0007419775,80
1335,0.00073796016,81
2711,0.000735912,82
1153,0.0007315548,83
520,0.0007302845,84
2209,0.0007253922,85
2295,0.0007215638,86
2085,0.00071939663,87
300,0.00071929215,88
2511,0.00071162055,89
1770,0.00071160943,90
1684,0.000709199,91
2074,0.0007068401,92
1060,0.0007004838,93
1032,0.00069594814,94
830,0.0006859289,95
1592,0.0006831495,96
2486,0.0006775768,97
2595,0.0006695072,98
303,0.0006573941,99
0,0.00065579073,100
1575,0.0006500785,101
302,0.0006499559,102
2393,0.0006347067,103
413,0.00062548846,104
2286,0.00062519935,105
1544,0.00061056984,106
502,0.00060767203,107
2655,0.0006037221,108
271,0.0006017215,109
390,0.00060009933,110
928,0.0005953906,111
2651,0.000594755,112
1686,0.0005911047,113
705,0.00058975635,114
2106,0.0005894514,115
1590,0.0005884579,116
1953,0.0005867142,117
2388,0.000578698,118
2707,0.00057660614,119
1189,0.0005751197,120
2673,0.0005738212,121
2610,0.0005737507,122
301,0.00057292107,123
2693,0.0005714815,124
2075,0.0005707919,125
811,0.00056962017,126
1685,0.0005689821,127
2592,0.00056845875,128
803,0.0005670225,129
55,0.0005656515,130
2674,0.0005655696,131
393,0.00056404126,132
839,0.0005613414,133
1135,0.00056086795,134
2111,0.000560482,135
1583,0.00055933016,136
1137,0.00055616396,137
2721,0.00055576116,138
2657,0.00055487704,139
88,0.00055476313,140
2661,0.00055314624,141
2658,0.0005526175,142
1651,0.00054986717,143
607,0.00054931786,144
1435,0.0005485416,145
2481,0.00054664107,146
1156,0.000544843,147
61,0.0005420631,148
2664,0.00054161216,149
89,0.0005411982,150
532,0.00054087513,151
1564,0.00053695857,152
2095,0.0005328682,153
2389,0.0005307118,154
2659,0.0005301225,155
626,0.00052810507,156
1453,0.00052361557,157
1671,0.00052323815,158
621,0.0005204271,159
1963,0.00051894627,160
820,0.000518194,161
369,0.00051762443,162
2668,0.0005173087,163
2579,0.0005172076,164
2662,0.00051598495,165
1501,0.0005157028,166
2483,0.00051517633,167
1157,0.0005134614,168
98,0.0005121036,169
62,0.0005113616,170
1053,0.00051104766,171
2091,0.000507522,172
2217,0.0005045983,173
651,0.00050392863,174
1891,0.0005024796,175
1063,0.00050241896,176
2423,0.0005022571,177
1017,0.0005011153,178
1657,0.00050029403,179
2094,0.00049843226,180
2515,0.0004983112,181
1061,0.00049701094,182
2208,0.00049456424,183
114,0.0004930716,184
1542,0.00049161934,185
1595,0.00049138174,186
2022,0.00049113657,187
1215,0.00049073034,188
893,0.00049059157,189
605,0.0004904489,190
1880,0.0004891392,191
2669,0.0004887493,192
1892,0.0004887432,193
1687,0.00048834994,194
1981,0.0004876061,195
1593,0.00048698904,196
962,0.000485684,197
2635,0.00048414196,198
614,0.00048386815,199
1441,0.00048266398,200
2424,0.00047997854,201
2601,0.00047948162,202
591,0.00047930086,203
523,0.00047816153,204
398,0.00047779444,205
2183,0.00047716586,206
1656,0.00047662866,207
1877,0.00047595994,208
1952,0.00047582775,209
2603,0.00047523386,210
2663,0.0004741762,211
1970,0.0004738453,212
1902,0.0004697414,213
2042,0.0004694876,214
1154,0.00046863226,215
1965,0.00046862554,216
2588,0.00046793226,217
2425,0.00046753173,218
1130,0.00046576894,219
2718,0.00046575643,220
1561,0.0004639353,221
918,0.00046392254,222
66,0.0004626284,223
1136,0.0004620762,224
1233,0.00046138122,225
2190,0.00046015056,226
518,0.00045830925,227
1660,0.00045617315,228
2507,0.00045418672,229
2677,0.00045408966,230
2004,0.00045399155,231
175,0.00045290485,232
2667,0.00045265772,233
832,0.00045213752,234
923,0.00045167806,235
1874,0.00045074467,236
1402,0.00045041365,237
1423,0.0004502942,238
1364,0.0004489974,239
1434,0.00044778467,240
2214,0.00044728065,241
2623,0.00044588774,242
814,0.0004445759,243
1971,0.00044428444,244
528,0.00044367003,245
1143,0.00044365812,246
69,0.00044328562,247
2656,0.00044292345,248
1983,0.00044187283,249
2624,0.00044165296,250
1065,0.0004404528,251
2633,0.00044016022,252
2313,0.00043889543,253
2422,0.0004377423,254
1988,0.00043685155,255
2636,0.00043662084,256
2188,0.00043341576,257
1932,0.00043318456,258
1771,0.00043244555,259
2129,0.0004320193,260
1765,0.00043134458,261
1220,0.00043009268,262
2490,0.00042986922,263
1602,0.0004292174,264
60,0.00042919532,265
2376,0.00042916645,266
1900,0.0004288757,267
2212,0.00042551238,268
799,0.0004249257,269
996,0.00042443172,270
1363,0.0004242015,271
892,0.00042362075,272
383,0.0004230995,273
357,0.0004227291,274
2700,0.00042125527,275
2761,0.00042114724,276
2275,0.00041919405,277
361,0.00041827463,278
2480,0.00041749276,279
704,0.00041741788,280
598,0.00041696124,281
2114,0.00041609918,282
414,0.00041608306,283
533,0.00041570954,284
2583,0.00041445708,285
1330,0.00041428176,286
1350,0.00041378124,287
2597,0.0004135906,288
1127,0.00041348627,289
1703,0.00041319712,290
364,0.00041315285,291
2516,0.00040989317,292
1141,0.00040988374,293
472,0.00040884988,294
174,0.00040869738,295
603,0.00040796382,296
80,0.00040791172,297
1966,0.00040788512,298
1524,0.00040773556,299
1855,0.00040745703,300
2197,0.0004055576,301
1565,0.00040469292,302
166,0.0004042169,303
1045,0.00040396917,304
1871,0.00040395878,305
1021,0.00040337926,306
73,0.0004032678,307
2381,0.00040318636,308
63,0.00040265085,309
891,0.00040177247,310
1865,0.00040154753,311
2653,0.00040110742,312
2420,0.0003993209,313
13,0.00039912728,314
354,0.00039911855,315
71,0.00039810402,316
1341,0.00039808804,317
2122,0.00039803053,318
1528,0.00039802585,319
362,0.00039767066,320
2300,0.00039766083,321
679,0.00039726013,322
2652,0.0003966863,323
391,0.00039651038,324
643,0.00039648917,325
593,0.00039596754,326
