feature_index,gain_importance,rank
2672,0.14615631,1
2207,0.023780119,2
2211,0.013865852,3
2210,0.013706232,4
2204,0.012219312,5
1674,0.01003455,6
1144,0.008237279,7
2665,0.007903886,8
2671,0.0070948964,9
1677,0.0070729633,10
2650,0.0066914614,11
1680,0.004362711,12
2612,0.0038111696,13
84,0.003659962,14
2208,0.0033459088,15
2213,0.0023538247,16
96,0.0023326674,17
1681,0.0021418442,18
620,0.0021316516,19
91,0.00211685,20
2201,0.0018717685,21
2615,0.0017574254,22
2082,0.0016699618,23
1671,0.0016383631,24
2,0.0015793551,25
2216,0.0015279088,26
505,0.0014661446,27
2215,0.001462388,28
2080,0.0013769375,29
532,0.0013491148,30
2209,0.0012698458,31
1545,0.0012576828,32
1685,0.00121325,33
2652,0.0011765768,34
2605,0.0011625615,35
1151,0.0011431406,36
1551,0.0011430802,37
2610,0.0011364255,38
1,0.0010772476,39
2666,0.0010209644,40
1683,0.001010696,41
1550,0.0010086057,42
1765,0.0010026619,43
2092,0.0009939978,44
302,0.00096243346,45
2625,0.0009508222,46
1141,0.0009366087,47
2660,0.00092517864,48
2711,0.0009224829,49
2085,0.00091365987,50
2120,0.0009070777,51
1063,0.0008912642,52
3,0.00088782655,53
481,0.0008839183,54
2700,0.0008832341,55
2670,0.0008665491,56
1593,0.00086560874,57
2105,0.000858728,58
2611,0.00084288354,59
832,0.00084110495,60
1153,0.0008382324,61
2186,0.00083447667,62
1592,0.00083021156,63
2640,0.0008250143,64
2686,0.00082286505,65
398,0.000820889,66
1679,0.00082031614,67
2083,0.00081826583,68
2122,0.0008040135,69
80,0.000802725,70
300,0.0007983059,71
1062,0.000795304,72
2074,0.00078220555,73
1891,0.0007743323,74
1988,0.0007692157,75
2495,0.00075011083,76
831,0.0007419433,77
1068,0.0007413264,78
1011,0.00072482263,79
2075,0.000721987,80
1562,0.00072197354,81
2622,0.00072195503,82
490,0.00072171673,83
2071,0.0007076181,84
2123,0.00070709316,85
93,0.00069881085,86
531,0.00069842144,87
