feature_index,gain_importance,rank
2672,0.13713272,1
2671,0.035368014,2
2211,0.012884464,3
1674,0.010695017,4
2204,0.01020147,5
2210,0.010009398,6
2665,0.008875165,7
2650,0.0070520327,8
1144,0.006868529,9
1680,0.0034247611,10
2216,0.002887264,11
84,0.0028729236,12
2213,0.0027948997,13
1681,0.0027084346,14
2615,0.0022100792,15
620,0.002123128,16
91,0.0020048139,17
2215,0.0019959474,18
2675,0.0018941916,19
531,0.0018551048,20
2612,0.0017486343,21
276,0.0016439018,22
3,0.0015872132,23
280,0.0015746831,24
2207,0.0014909282,25
2078,0.0014116723,26
2110,0.0014031669,27
1683,0.0013879706,28
831,0.0013700352,29
481,0.0013121484,30
2666,0.0012633116,31
1545,0.001203737,32
88,0.0011757427,33
2613,0.0011650184,34
1593,0.0011645759,35
1153,0.0011555697,36
1011,0.0011427602,37
1063,0.001090628,38
96,0.0010623189,39
2085,0.0010543254,40
1562,0.0010277061,41
503,0.0010085277,42
1147,0.0010076892,43
81,0.0010015013,44
2640,0.0009856357,45
1685,0.000979764,46
621,0.0009770547,47
2080,0.0009756776,48
1032,0.00093097065,49
2660,0.0008971026,50
2610,0.00088904507,51
1542,0.0008834368,52
93,0.0008762252,53
1151,0.0008744224,54
1061,0.0008726998,55
1580,0.00087086443,56
2071,0.0008700319,57
611,0.0008683928,58
300,0.0008586273,59
815,0.00083696604,60
600,0.00082646724,61
2670,0.0008257389,62
2212,0.00082246435,63
2686,0.0008203158,64
542,0.0008075552,65
2507,0.00080627174,66
302,0.0007969364,67
623,0.0007937356,68
2611,0.0007759773,69
2661,0.0007746251,70
2700,0.0007687634,71
533,0.0007643299,72
1595,0.0007586997,73
2,0.00075555133,74
1155,0.0007528576,75
1444,0.00074268336,76
2641,0.0007390478,77
1575,0.00072488864,78
2123,0.0007226148,79
2410,0.0007210892,80
2625,0.000721075,81
2674,0.0007199331,82
2083,0.0007166541,83
2120,0.00071096624,84
1157,0.0007084912,85
532,0.00070513145,86
2504,0.0007045053,87
1550,0.00070353097,88
2092,0.0007022687,89
2664,0.0007017665,90
2511,0.0007003106,91
2105,0.00069897244,92
502,0.00069195527,93
90,0.0006853378,94
2483,0.00067886285,95
303,0.00067295745,96
175,0.00067262637,97
1350,0.0006682552,98
2077,0.0006631442,99
393,0.00066131336,100
1,0.0006606815,101
1988,0.0006602376,102
1703,0.0006584681,103
1565,0.00065761467,104
2662,0.00065529667,105
361,0.0006508966,106
505,0.00064777845,107
2601,0.00064547424,108
2635,0.0006454284,109
775,0.0006440583,110
490,0.0006411093,111
2658,0.00064033543,112
1020,0.0006374338,113
2663,0.00063622673,114
1025,0.00063595036,115
2651,0.0006347808,116
1548,0.00063433085,117
2295,0.00063348265,118
2668,0.0006317793,119
1065,0.0006275286,120
1354,0.0006271871,121
2589,0.00062631106,122
1590,0.0006209939,123
1148,0.00061826693,124
814,0.0006175706,125
614,0.0006144532,126
1541,0.0006118095,127
2481,0.0006117196,128
1892,0.00061099755,129
2075,0.00060951896,130
606,0.00060109777,131
830,0.00060003466,132
2111,0.0005995625,133
891,0.00059665286,134
398,0.00059443666,135
970,0.00058902,136
985,0.0005887227,137
480,0.0005861382,138
2597,0.00057936803,139
1765,0.00057889835,140
2082,0.0005740098,141
2201,0.0005738772,142
2122,0.00057339476,143
1232,0.0005722745,144
2655,0.00056496554,145
2121,0.00056149944,146
2701,0.000561227,147
833,0.0005603377,148
1345,0.00056024076,149
1662,0.00056019134,150
2657,0.0005592443,151
2311,0.00055855844,152
2622,0.0005573988,153
1045,0.0005562221,154
11,0.0005547287,155
1686,0.0005528835,156
2070,0.00055254577,157
2602,0.0005522325,158
2667,0.0005463033,159
839,0.00054517033,160
2094,0.0005435171,161
360,0.00054165383,162
1874,0.0005415055,163
2604,0.0005401991,164
95,0.0005352426,165
1981,0.000534974,166
313,0.0005338636,167
2711,0.0005336337,168
2588,0.0005317691,169
173,0.00053164747,170
2677,0.00052933797,171
432,0.0005282875,172
2183,0.00052765745,173
470,0.0005263932,174
1980,0.00052628125,175
413,0.0005232289,176
1010,0.00052182097,177
1878,0.00052159233,178
1544,0.00052080536,179
1005,0.0005189753,180
1360,0.00051866553,181
2420,0.00051843916,182
2196,0.000517067,183
1048,0.0005147518,184
2656,0.0005147066,185
2388,0.0005146885,186
832,0.00051432126,187
462,0.00051313825,188
160,0.00051263004,189
2659,0.0005119673,190
2091,0.0005108803,191
2482,0.00050976686,192
1115,0.00050898694,193
2194,0.0005083287,194
73,0.0005067793,195
2405,0.0005059948,196
699,0.0005054,197
1235,0.00050462346,198
273,0.0005039226,199
1528,0.0005019617,200
485,0.00050020777,201
1781,0.00049989455,202
2605,0.0004997213,203
2209,0.0004963714,204
2181,0.00049431546,205
161,0.000493868,206
1361,0.00049380196,207
1137,0.00049351633,208
102,0.0004928139,209
2208,0.0004915086,210
70,0.0004860477,211
962,0.0004841285,212
61,0.00048154604,213
2289,0.0004795566,214
2646,0.00047919335,215
2626,0.00047917303,216
706,0.00047731173,217
2687,0.0004767373,218
2636,0.00047615188,219
1653,0.0004757443,220
180,0.0004754579,221
2072,0.00047519652,222
515,0.0004744657,223
2673,0.00047424642,224
1651,0.00047417043,225
2045,0.00047387974,226
806,0.0004721163,227
1604,0.00047199553,228
1778,0.00047146177,229
2624,0.00047133342,230
1677,0.0004697495,231
2652,0.00046929307,232
1920,0.0004692593,233
643,0.00046871635,234
71,0.00046853634,235
2090,0.00046813829,236
510,0.00046765624,237
2058,0.00046616688,238
2479,0.00046592113,239
617,0.00046516553,240
157,0.00046502656,241
1951,0.00046487272,242
1790,0.0004646857,243
1002,0.0004645595,244
2106,0.000460443,245
2761,0.0004600355,246
968,0.0004588335,247
2185,0.0004576942,248
75,0.0004576562,249
396,0.00045647257,250
902,0.00045630286,251
986,0.0004551205,252
2518,0.0004539025,253
2428,0.0004537379,254
1877,0.0004536222,255
710,0.00045231293,256
914,0.00045134994,257
2422,0.00044954158,258
2721,0.00044871424,259
2707,0.00044659106,260
1003,0.0004464331,261
2217,0.00044582665,262
530,0.00044493127,263
1896,0.00044451712,264
1058,0.00044447192,265
74,0.00044314782,266
1894,0.00044290366,267
2637,0.0004427431,268
2427,0.0004425293,269
282,0.00044218233,270
167,0.0004398798,271
1684,0.00043985652,272
1128,0.00043885875,273
1979,0.00043862575,274
2411,0.00043709957,275
2060,0.0004369907,276
77,0.00043656654,277
2190,0.00043585172,278
1012,0.00043483375,279
493,0.00043458832,280
2524,0.00043454405,281
2421,0.0004342041,282
1021,0.0004339869,283
2182,0.00043313208,284
