feature_index,gain_importance,rank
2672,0.16933757,1
2211,0.015401423,2
1674,0.015111185,3
1144,0.009959799,4
2671,0.009404165,5
2210,0.008749687,6
2204,0.008210224,7
2665,0.008053341,8
1681,0.0073851226,9
2650,0.005269243,10
1671,0.005070869,11
2201,0.0030653228,12
611,0.002813519,13
2612,0.0025371173,14
618,0.002463846,15
91,0.0024544813,16
2213,0.0024062702,17
2615,0.0020781169,18
2215,0.0018282847,19
88,0.0018074707,20
1680,0.0018049114,21
1141,0.0017106674,22
2208,0.0015522353,23
1551,0.0015168102,24
84,0.0014965627,25
2110,0.0013802602,26
2078,0.0012720219,27
705,0.0012646641,28
1685,0.0012489987,29
1550,0.0012374123,30
1,0.0012286388,31
490,0.0012198584,32
1562,0.0011780355,33
81,0.0011263214,34
2666,0.0011223684,35
1545,0.0011207423,36
2,0.001114411,37
2083,0.001087458,38
1872,0.0010640379,39
2092,0.0010598432,40
2410,0.0010373802,41
1151,0.0010348842,42
2670,0.0010167207,43
393,0.0010070256,44
2622,0.0010068879,45
2075,0.0009928184,46
2216,0.0009753931,47
2660,0.0009553376,48
302,0.00094863056,49
300,0.00094663916,50
96,0.0009457661,51
2613,0.00092821324,52
2080,0.0009059794,53
2686,0.00089034875,54
831,0.00088851375,55
258,0.0008868927,56
2711,0.0008860894,57
2120,0.0008853917,58
2074,0.0008841258,59
1332,0.0008803901,60
2207,0.00087994325,61
1063,0.00087693275,62
811,0.0008746735,63
2105,0.00087424915,64
2279,0.000843868,65
2192,0.0008433572,66
2081,0.00083871454,67
275,0.0008189921,68
1875,0.0008168652,69
1878,0.00080690515,70
2186,0.0008015044,71
2625,0.00079689664,72
2700,0.0007865761,73
93,0.0007804554,74
2195,0.00077408354,75
2635,0.0007692907,76
481,0.0007634777,77
361,0.0007607555,78
2675,0.00075363903,79
1880,0.0007506798,80
621,0.00074590323,81
2664,0.00074141193,82
1687,0.0007325394,83
530,0.0007306915,84
2640,0.00072777533,85
1653,0.0007264235,86
390,0.00072312914,87
1590,0.00072207674,88
2668,0.0007194597,89
3,0.0007135125,90
1683,0.00070866843,91
2395,0.0007083465,92
1128,0.0007020889,93
2308,0.00069979444,94
2611,0.00069826597,95
2072,0.00069162954,96
1011,0.0006805229,97
2721,0.0006773308,98
531,0.0006750305,99
2659,0.00067479635,100
1032,0.0006716913,101
505,0.00067096,102
2655,0.00066674186,103
2610,0.0006602567,104
1342,0.0006574901,105
1575,0.00065023627,106
2111,0.00065007707,107
396,0.0006373763,108
1020,0.0006330401,109
1344,0.0006301406,110
2488,0.00063009467,111
1580,0.0006274484,112
2401,0.0006254322,113
2122,0.0006204619,114
2286,0.0006197688,115
918,0.00061928603,116
282,0.0006172232,117
55,0.00061664364,118
2486,0.00061415834,119
83,0.0006136898,120
892,0.00061172224,121
1363,0.0006110461,122
2438,0.00060944655,123
1236,0.0006081919,124
362,0.0006070123,125
2191,0.00060598477,126
2121,0.0006059592,127
1348,0.0006045388,128
2209,0.0006014771,129
598,0.0006009379,130
2661,0.0006004629,131
1062,0.00059761974,132
1602,0.00059523736,133
2411,0.0005949232,134
2060,0.00059007294,135
480,0.0005874656,136
301,0.0005863015,137
2605,0.00058629084,138
1149,0.0005856249,139
1360,0.00058289606,140
2123,0.0005826557,141
175,0.0005752064,142
482,0.00057470665,143
1965,0.0005724048,144
1667,0.00057188736,145
832,0.0005703877,146
1000,0.00056981784,147
391,0.0005680692,148
2294,0.00056760805,149
2657,0.000565808,150
1677,0.0005630542,151
2651,0.0005624149,152
1060,0.00056232756,153
803,0.0005605533,154
2420,0.0005583726,155
612,0.0005578927,156
623,0.00055741874,157
502,0.0005529075,158
1593,0.00055010663,159
1664,0.0005490368,160
1157,0.0005468438,161
1660,0.00054314436,162
2595,0.0005427448,163
830,0.0005415423,164
2667,0.0005375623,165
923,0.0005368077,166
1010,0.0005366143,167
1645,0.000533346,168
1341,0.0005331463,169
607,0.000530388,170
627,0.000529644,171
2636,0.0005285972,172
2063,0.00052855676,173
2662,0.00052655936,174
1579,0.000525457,175
1152,0.0005239923,176
1542,0.00052389404,177
1678,0.0005235121,178
2604,0.0005224255,179
2288,0.0005220823,180
2090,0.00052076956,181
1153,0.00052018627,182
2607,0.0005195171,183
2393,0.0005191449,184
1438,0.00051849335,185
520,0.0005183594,186
303,0.0005153686,187
1006,0.00051490444,188
2626,0.00051110814,189
1978,0.0005109528,190
1021,0.0005105867,191
532,0.00050873315,192
455,0.000508702,193
1764,0.00050860865,194
2212,0.00050855085,195
812,0.0005074284,196
62,0.0005064874,197
87,0.0005054894,198
921,0.0005054887,199
1595,0.0005031573,200
2194,0.000498771,201
626,0.00049833924,202
1665,0.0004973363,203
2217,0.0004972869,204
2138,0.00049700384,205
2495,0.0004964137,206
893,0.0004933569,207
1049,0.0004918936,208
2168,0.00049040903,209
1155,0.00048685813,210
2180,0.00048581135,211
60,0.00048548798,212
2663,0.00048528207,213
2669,0.00048458893,214
2082,0.00048438102,215
2114,0.00048398905,216
1891,0.00048331256,217
1045,0.00048280405,218
2646,0.00048241238,219
2644,0.00048113923,220
620,0.00047931634,221
2707,0.00047886628,222
2203,0.00047607167,223
2516,0.00047550336,224
2761,0.000474071,225
2077,0.00047398458,226
61,0.0004724085,227
1456,0.00047210066,228
1592,0.00047070332,229
815,0.0004695109,230
162,0.00046922723,231
1335,0.00046901405,232
1603,0.00046807245,233
1130,0.00046756896,234
1174,0.00046635396,235
