feature_index,gain_importance,rank
2672,0.18821813,1
2207,0.02022586,2
2204,0.01398299,3
2211,0.0133367,4
1674,0.009160239,5
2665,0.0072259447,6
2650,0.0070607592,7
2210,0.006961753,8
2671,0.006262863,9
1144,0.006159421,10
84,0.005127719,11
2612,0.004062871,12
1681,0.00287405,13
1677,0.0026233348,14
2213,0.0025490269,15
2615,0.0024566122,16
2215,0.0023286908,17
91,0.0020960206,18
2078,0.0019863686,19
2216,0.0018941388,20
618,0.0018360064,21
531,0.0016650087,22
2675,0.001520681,23
620,0.0014903786,24
2082,0.0014274546,25
2085,0.0013872423,26
1891,0.0013595644,27
2120,0.0013340105,28
1151,0.0013155496,29
81,0.0012907251,30
1680,0.0012817327,31
1,0.0012641699,32
811,0.0012574629,33
96,0.0012220464,34
1685,0.0012049441,35
88,0.0011181304,36
2670,0.0010905034,37
2660,0.0010340275,38
830,0.0010150111,39
280,0.0010143329,40
2622,0.0009952695,41
1683,0.0009854325,42
1062,0.0009835967,43
1671,0.0009831715,44
3,0.0009711787,45
505,0.00097063155,46
2401,0.00094064884,47
2495,0.00091040804,48
2,0.0008982186,49
2611,0.00089180685,50
1361,0.0008755652,51
502,0.00087443664,52
1063,0.0008699329,53
1703,0.00085541105,54
1551,0.0008458139,55
2201,0.00083843095,56
2110,0.00082776137,57
303,0.00082754146,58
1141,0.0008271671,59
2686,0.0008213688,60
2075,0.00081187603,61
1545,0.00081104244,62
2123,0.00080844935,63
2379,0.000803365,64
1575,0.0008022254,65
2105,0.0007709655,66
93,0.00076383486,67
2666,0.000756242,68
2286,0.00075361715,69
1015,0.0007470527,70
2605,0.0007457202,71
2410,0.00073838123,72
2640,0.0007319968,73
532,0.000726659,74
2111,0.0007251176,75
803,0.0007162853,76
699,0.00071324455,77
2651,0.0007121961,78
2077,0.00070935034,79
302,0.00069818314,80
1988,0.00069442246,81
2425,0.0006926516,82
1011,0.0006911257,83
1880,0.00068871124,84
2388,0.00068502827,85
820,0.0006824487,86
2190,0.0006697506,87
1032,0.0006632374,88
301,0.0006622933,89
2711,0.0006497854,90
524,0.00064821093,91
2532,0.0006476307,92
1895,0.0006408334,93
2212,0.0006390315,94
2655,0.0006350688,95
533,0.0006300677,96
1678,0.00062999164,97
2233,0.00062981196,98
2421,0.0006287771,99
2092,0.000626675,100
2662,0.00062568835,101
2652,0.0006239967,102
1879,0.0006218231,103
2188,0.0006207868,104
1562,0.0006181975,105
832,0.0006153691,106
2186,0.00061481487,107
611,0.0006144855,108
2610,0.00061432034,109
1350,0.00061361026,110
2074,0.00061340345,111
2707,0.00061334774,112
281,0.0006104161,113
523,0.0005976721,114
1550,0.0005971165,115
2080,0.0005958349,116
1665,0.00058842753,117
1593,0.000588115,118
1871,0.000586309,119
1061,0.0005854479,120
596,0.0005850154,121
1544,0.0005833089,122
2667,0.00058189535,123
2623,0.0005805825,124
2636,0.0005777936,125
2295,0.0005705736,126
174,0.000569981,127
2635,0.00056886824,128
2664,0.0005670339,129
481,0.0005661881,130
2661,0.00056535786,131
300,0.0005633532,132
607,0.0005595516,133
625,0.0005564666,134
1060,0.0005533417,135
891,0.0005531862,136
2625,0.000549374,137
1137,0.0005435859,138
600,0.00054318365,139
359,0.00054249703,140
1229,0.0005395225,141
1535,0.00053803023,142
472,0.00053648103,143
923,0.0005358704,144
1874,0.00053557433,145
