feature_index,gain_importance,rank
2672,0.18823414,1
2211,0.017842378,2
2204,0.016277557,3
2207,0.013910608,4
2210,0.00811043,5
2671,0.006965351,6
2665,0.0067575146,7
2650,0.0052714497,8
1674,0.0052213822,9
1681,0.0045803105,10
84,0.0037794788,11
2612,0.0032880204,12
2208,0.0032013236,13
1680,0.0030211373,14
1344,0.0028887186,15
91,0.0027778372,16
620,0.0027159208,17
1144,0.0025632912,18
2213,0.0024488885,19
1677,0.0022993549,20
2082,0.0018107286,21
2670,0.0016559471,22
2615,0.0016238467,23
2215,0.0015460227,24
2216,0.0015397234,25
505,0.0015204883,26
2110,0.0015117406,27
96,0.0013811041,28
81,0.0011684548,29
276,0.0011259093,30
481,0.0010544168,31
471,0.0010486252,32
302,0.0010222847,33
2123,0.001011098,34
2660,0.0010096803,35
1032,0.0009981764,36
2675,0.0009875514,37
1345,0.0009787448,38
621,0.000939526,39
2604,0.0009389737,40
2686,0.00093131606,41
1685,0.0009109714,42
2652,0.000910812,43
1555,0.00090652134,44
531,0.0008931856,45
3,0.00088498625,46
2711,0.00088360725,47
1146,0.0008819144,48
398,0.0008681981,49
2625,0.00083600095,50
2075,0.0008354239,51
2613,0.0008281483,52
2092,0.00081208395,53
2085,0.0008109215,54
1580,0.00080697704,55
1153,0.00080417626,56
831,0.0007937559,57
625,0.0007852671,58
532,0.0007602311,59
1759,0.0007571442,60
1060,0.0007553593,61
1034,0.00074325694,62
301,0.00074256957,63
2074,0.0007421571,64
2186,0.000735144,65
1542,0.0007312925,66
1592,0.00072767626,67
1011,0.00072639616,68
1128,0.0007209599,69
2,0.0007198021,70
0,0.0007172704,71
1562,0.0007153923,72
2201,0.0007146539,73
273,0.00070507085,74
1151,0.00070406904,75
2663,0.0007001444,76
1671,0.0006939032,77
290,0.0006920943,78
2401,0.0006904053,79
626,0.00068833004,80
2667,0.00068718893,81
140,0.0006821942,82
1765,0.00067896536,83
839,0.00067149,84
93,0.00066697045,85
833,0.0006644966,86
2071,0.0006643989,87
1662,0.0006619582,88
2179,0.00065840664,89
2217,0.0006575465,90
2664,0.00065517885,91
1593,0.0006549815,92
393,0.0006466402,93
2105,0.0006454763,94
1679,0.0006421737,95
1871,0.0006412784,96
2292,0.00063290395,97
2120,0.00062332896,98
775,0.00062253565,99
2702,0.0006210048,100
1061,0.00062066165,101
2635,0.0006162268,102
2640,0.0006155545,103
1551,0.0006151773,104
2080,0.00061395194,105
1235,0.00061232335,106
1859,0.0006100181,107
1591,0.00060857506,108
1063,0.0006075325,109
303,0.00060684065,110
2404,0.0006049,111
1595,0.00060320325,112
2662,0.00060305046,113
2121,0.00060089055,114
1972,0.00059906655,115
2655,0.0005977902,116
300,0.00059642777,117
2589,0.0005960642,118
1687,0.00059428916,119
2658,0.00059083296,120
1137,0.0005858705,121
539,0.00058468105,122
1760,0.00058365497,123
811,0.0005827127,124
2422,0.00057956506,125
2405,0.00057509437,126
2303,0.0005746862,127
1024,0.0005746063,128
2666,0.00057442347,129
2673,0.00057284115,130
396,0.00057202,131
1664,0.0005697797,132
2507,0.00056053314,133
2605,0.0005594948,134
1652,0.0005572187,135
623,0.0005555417,136
1575,0.00055538386,137
2438,0.00055115065,138
2539,0.0005499665,139
830,0.00054978643,140
98,0.0005490229,141
184,0.0005485908,142
2195,0.0005478791,143
2661,0.000547875,144
2651,0.00054694747,145
1988,0.0005462175,146
2669,0.000545239,147
1500,0.00054481014,148
522,0.0005441526,149
981,0.00054332044,150
70,0.00054324366,151
2188,0.00054288376,152
592,0.00054248684,153
1451,0.0005404229,154
361,0.0005386857,155
2707,0.00053783174,156
