accuracy,threat_precision,threat_recall,threat_f1,non_threat_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_raw,brier_calibrated,threshold,true_threats,correct_threats,missed_threats,false_proximity_alerts,correct_non_threats,total,tp,fn,fp,tn,test_day,fold
0.9004811344644214,0.8708860759493671,0.848783926683116,0.8596929667975723,0.9228958210712184,0.8912943939343954,0.9001930485244555,0.945347653933955,0.9380788286989461,0.07686759627742687,0.07183684339632469,0.32,2837,2408,429,357,4704,7898,2408,429,357,4704,2023-06-16,1
0.9202646239554317,0.8862056348335163,0.8656182987848463,0.8757909962032182,0.941287069481241,0.9085390328422296,0.9200175693614746,0.9669498863672942,0.9531195731204428,0.0617330449352672,0.057739888930000254,0.35000000000000003,2798,2422,376,311,5507,8616,2422,376,311,5507,2023-06-17,2
0.9162024141132776,0.8581560283687943,0.8825674690007294,0.870190578928443,0.9381319622964868,0.9041612706124649,0.9165099482301943,0.9670058525410969,0.9509383603373548,0.06057719964002262,0.05722450637174306,0.34,2742,2420,322,400,5474,8616,2420,322,400,5474,2023-06-18,3
0.9035515320334262,0.8986425339366516,0.7659082144234477,0.8269831355402874,0.9331402365435675,0.8800616860419275,0.9011920746469211,0.9328507977422196,0.9035283996333818,0.08256477172259086,0.0791236946514445,0.27,2593,1986,607,224,5799,8616,1986,607,224,5799,2023-06-19,4
0.8957753017641596,0.9111192392099488,0.7917991099809282,0.8472789115646259,0.9208949964763918,0.8840869540205089,0.894015214311534,0.956929143650101,0.9447895138811303,0.08517839281174187,0.0806249246386393,0.3,3146,2491,655,243,5227,8616,2491,655,243,5227,2023-06-20,5
0.933614887158506,0.8714839961202716,0.8830466830466831,0.8772272394434952,0.9545084561816044,0.9158678478125498,0.9337525797051558,0.9723391709678249,0.9530741827115923,0.04874548631901035,0.04585713874261544,0.34,2035,1797,238,265,5277,7577,1797,238,265,5277,2023-06-21,6
0.825487012987013,0.7117465224111282,0.941717791411043,0.8107394366197183,0.8381024096385542,0.8244209231291362,0.8272416192114351,0.9537757997616473,0.9520358976235592,0.0790023865038438,0.07397603589928213,0.16,978,921,57,373,1113,2464,921,57,373,1113,2023-06-22,7
0.9163184772516249,0.9096630877452795,0.8374233128834356,0.8720496894409938,0.9378287488143485,0.9049392191276712,0.915429055197656,0.9569341961016349,0.9474900635965343,0.06851756796228539,0.06685683910953823,0.24000000000000002,2934,2457,477,244,5438,8616,2457,477,244,5438,2023-06-23,8
0.9202646239554317,0.8842975206611571,0.8881142098273572,0.8862017558389929,0.9386333184457347,0.9124175371423637,0.9203041788715116,0.9706463818767282,0.9573171503949247,0.06134040010907147,0.058961595061244876,0.34,3012,2675,337,350,5254,8616,2675,337,350,5254,2023-06-24,9
0.950701480904131,0.8843314191960624,0.9058823529411765,0.8949771689497716,0.9677912157861235,0.9313841923679476,0.9509072103817473,0.9773908650218078,0.9483509982170311,0.03799357040815044,0.03725165957718922,0.27,1190,1078,112,141,3801,5132,1078,112,141,3801,2023-06-25,10
