feature_index,importance
2672,0.18563755
2211,0.018582372
2207,0.01769511
2204,0.0141298445
1674,0.009547194
2665,0.00826723
1144,0.007733109
2210,0.006637803
2650,0.006538698
2209,0.0063314294
2612,0.0040846574
2671,0.0035297996
2615,0.0032987196
1680,0.0029543974
620,0.0025025487
91,0.0024672335
1671,0.00232303
2082,0.002009129
2085,0.0019025034
1149,0.0018821055
1593,0.0016762947
1681,0.001593308
2201,0.0015378626
96,0.0015259017
84,0.0015251504
611,0.001433144
532,0.0014069938
2213,0.0013928525
2216,0.001369566
1063,0.0013344017
2610,0.0013114843
832,0.0013044862
2121,0.0012923953
302,0.0012407656
2652,0.0012302425
2071,0.0012294597
2670,0.0012278813
2079,0.0011991798
2215,0.0011860941
300,0.0011644497
90,0.0011617274
505,0.0011497489
2711,0.0011454315
1,0.0011228459
1141,0.0011146683
618,0.0010911407
1551,0.0010664703
2092,0.0010461877
2666,0.0009964817
1555,0.0009838176
3,0.0009773596
2660,0.0009705042
1550,0.0009626091
2080,0.00095066184
530,0.0009416705
1880,0.0008875703
2511,0.0008836989
1060,0.0008784095
2624,0.0008684411
1235,0.0008671107
1362,0.00084631465
1011,0.0008336297
88,0.00083115057
1686,0.0008104104
93,0.0008089553
2120,0.00080556737
1151,0.0008040969
2640,0.0008029575
2393,0.000782527
1979,0.00077933393
2675,0.00077839935
1422,0.00077001995
2186,0.0007693996
2662,0.00076390244
1685,0.0007512139
2622,0.000737141
2655,0.00072847964
531,0.00072626915
2410,0.00072579173
2495,0.0007237453
2094,0.00072349544
481,0.0007164484
1562,0.0007117144
344,0.00071098644
1677,0.0007088134
1032,0.0007066665
2707,0.00070415024
1874,0.00070287037
436,0.0007003753
2,0.00069994695
1683,0.0006994481
2663,0.0006987043
2686,0.00069477083
2105,0.0006871592
280,0.00068433833
2111,0.0006776395
0,0.000677007
2217,0.00067629205
2700,0.00067424314
2611,0.0006733882
2517,0.0006701712
2110,0.0006662616
95,0.00066616875
1765,0.00066256855
533,0.0006584655
543,0.00065450574
2651,0.0006505738
2601,0.0006499309
2657,0.00064892916
833,0.0006445524
2635,0.0006377861
1590,0.00063308515
2123,0.0006320011
1435,0.0006278575
398,0.000606025
966,0.0006044023
1008,0.00060320593
1575,0.0006028512
1155,0.00060166826
303,0.00060121366
2078,0.00060111855
1563,0.00059927965
1592,0.0005960014
70,0.0005954082
2715,0.0005925459
1034,0.000592082
2625,0.0005890387
1229,0.00058810407
1014,0.00058666174
1378,0.00058132363
705,0.00058080273
1130,0.0005806212
1687,0.00057388935
2482,0.00057355204
271,0.0005702956
925,0.00057026284
2401,0.00056956965
2122,0.0005691498
