feature_index,importance
2672,0.1724059
2207,0.01578669
2211,0.013710334
2204,0.0131583605
1674,0.011340468
1144,0.0073782806
2650,0.0066799885
2665,0.0064350804
2671,0.006301084
2210,0.0058050603
2612,0.003252663
84,0.0031047412
1681,0.003061509
2078,0.0026602868
531,0.002333446
91,0.0022991302
618,0.002285154
2213,0.0022816812
1680,0.00216863
81,0.0021341152
2082,0.0019933642
2615,0.0019335042
2675,0.001904948
2215,0.0018006891
2216,0.0017643002
1,0.0017599078
88,0.0016789393
2120,0.0013191486
811,0.0012886018
2686,0.0012656307
620,0.0012501157
1551,0.0012441251
1891,0.0012139648
1671,0.0011746822
1685,0.0011252923
3,0.00110068
830,0.0010839823
280,0.0010712313
96,0.0010669733
2660,0.0010340179
2495,0.0010336896
1591,0.0010267992
2670,0.0010112951
505,0.0010013647
1151,0.0009879133
1063,0.0009561181
303,0.00095390045
1361,0.00094947935
1062,0.00090889714
2622,0.0008885181
1683,0.00086248695
2401,0.0008567894
300,0.0008526038
502,0.00085233897
281,0.00084336987
2,0.0008295624
2640,0.00081147416
2123,0.00080486725
1562,0.00079627085
532,0.000796247
1703,0.0007908304
611,0.0007898966
2075,0.0007888347
93,0.00078095804
1686,0.00077935366
1575,0.0007751682
1677,0.0007719206
2110,0.0007682438
2652,0.0007670867
2105,0.0007631235
1545,0.00075981085
1251,0.0007581541
803,0.0007579611
2651,0.00075161253
2607,0.0007389488
2201,0.00073883194
533,0.0007264857
2081,0.00071602745
2085,0.0007136889
833,0.00071309705
2610,0.000709175
1032,0.0006972276
815,0.0006965233
2666,0.00069589907
2410,0.0006915719
1555,0.00069140823
1235,0.00069111015
301,0.00068885885
1988,0.0006887169
2611,0.0006754068
2186,0.0006718538
2669,0.0006707452
2605,0.00066917046
625,0.0006686799
832,0.0006657262
375,0.0006645027
1874,0.0006639514
2532,0.0006534972
1878,0.0006526096
481,0.00064981414
2832,0.0006482284
1665,0.00064080034
1153,0.0006378463
820,0.0006375451
1011,0.0006350356
302,0.0006325553
1061,0.00063172093
2707,0.00063106895
2661,0.00062625966
891,0.0006251664
2190,0.00062445446
1879,0.00062269927
396,0.0006035616
2662,0.00060130545
2721,0.0006012143
2077,0.0005994089
1350,0.0005967418
472,0.00059331517
1601,0.0005920079
140,0.00058843486
2083,0.00058803265
2486,0.00058527704
2074,0.0005847089
2212,0.0005843253
2664,0.00058348896
1880,0.0005832378
1025,0.0005818153
1678,0.00058131537
2080,0.0005804539
2286,0.00058041036
1071,0.0005793308
2111,0.00057469535
1987,0.0005728829
372,0.00057167886
1015,0.00057155784
2635,0.00056984567
1344,0.00056883285
2188,0.0005669065
2711,0.0005659705
2700,0.00056189526
1590,0.00056182017
1548,0.0005610522
2655,0.00055850303
2379,0.00055667676
75,0.00055591366
607,0.0005534469
1895,0.00055325736
2625,0.0005527424
55,0.0005487714
1871,0.00054805103
1592,0.0005469778
61,0.00054636685
2200,0.0005451794
2836,0.00053935294
2411,0.0005360406
1435,0.00053255924
1060,0.0005300775
2636,0.0005264589
1593,0.0005260154
174,0.00052555936
2233,0.0005249844
623,0.00052482233
2092,0.00052369654
802,0.00051408017
596,0.000511725
2294,0.00051106774
2667,0.00051051314
2602,0.00051024056
1023,0.0005100682
1132,0.00050983165
2673,0.0005091017
2122,0.00050877396
361,0.0005079604
2217,0.00050731126
2422,0.0005065256
184,0.0005059236
2623,0.0005056066
2693,0.00050475576
2295,0.0005028537
1877,0.00050255324
1542,0.00049581134
923,0.0004945261
2626,0.0004934245
482,0.00049278926
1377,0.00049237156
1229,0.00049236015
627,0.00048973237
1010,0.0004887342
2492,0.0004862694
523,0.0004844521
2657,0.00048387476
651,0.00048340688
471,0.00048332775
2659,0.00048217448
1550,0.0004818084
705,0.00048164258
2624,0.00048111938
1952,0.00047594012
599,0.0004754031
2710,0.00047398172
177,0.0004738948
2405,0.0004738375
860,0.00047320517
621,0.0004725269
1687,0.00047158138
515,0.00047042556
2593,0.00046991493
1356,0.00046940712
626,0.00046673696
1894,0.00046574205
1875,0.0004647207
1045,0.00046413622
1544,0.00046319098
606,0.00046248862
2071,0.000461803
2663,0.00046117068
2195,0.00046055322
699,0.0004602603
1128,0.00045994358
1495,0.00045898638
2641,0.00045664233
2513,0.0004565948
2198,0.00045518027
398,0.00045439196
393,0.0004537874
2091,0.00045230036
1068,0.00045172573
2106,0.00045111612
1034,0.0004507309
2289,0.00045040506
1227,0.00044927414
1437,0.0004474867
1473,0.0004458427
1981,0.00044553337
2483,0.00044538372
1141,0.00044526177
1764,0.00044217973
2121,0.00044191888
2408,0.00044141652
2658,0.00043998694
2511,0.00043959302
2603,0.00043955882
2432,0.00043736643
1956,0.00043656773
930,0.00043497104
518,0.0004340763
893,0.00043365735
970,0.00043335382
1127,0.00043199028
1457,0.00043178597
1766,0.00043135896
368,0.00043126856
2094,0.00043101324
2425,0.00042846514
2275,0.0004279933
2604,0.00042727034
1511,0.0004271875
2134,0.00042694222
2397,0.00042555804
2674,0.00042498636
2392,0.00042493877
1970,0.00042356423
2846,0.00042275034
378,0.0004222065
2596,0.00042120443
501,0.00042071386
1335,0.0004206268
270,0.0004198714
1975,0.00041832775
459,0.00041770158
2518,0.00041742343
1020,0.00041717367
1438,0.0004171226
2557,0.00041607427
1423,0.00041601367
2482,0.0004159698
1846,0.0004155571
2406,0.00041452528
2293,0.00041352262
1610,0.00041200552
1155,0.00041191216
1129,0.00041118174
2296,0.00041098607
1157,0.00041044975
1666,0.0004103753
1137,0.0004101267
2479,0.00040971057
2827,0.00040960257
2691,0.00040915757
2407,0.0004087156
1964,0.00040840646
1065,0.00040804685
390,0.0004078567
1652,0.00040785014
2430,0.00040698794
1893,0.0004059434
2064,0.00040537168
834,0.00040526976
114,0.0004037111
410,0.00040311128
2311,0.00040263956
120,0.00040255996
1967,0.00040221884
1140,0.0004018002
1448,0.00040117942
161,0.00040109133
1331,0.00040040995
413,0.00039935007
643,0.00039917076
2341,0.0003987553
1679,0.00039806883
1148,0.00039800542
1363,0.00039770972
805,0.00039769476
1334,0.0003970275
1427,0.0003967968
1058,0.00039603596
1565,0.0003960112
2376,0.00039547522
1903,0.0003954613
1134,0.00039413822
98,0.00039390885
290,0.00039380253
1444,0.00039283838
2656,0.0003922521
1902,0.00039206495
2516,0.00039083042
2601,0.00038959133
360,0.00038952587
1126,0.0003894029
358,0.00038913183
13,0.00038639037
1892,0.00038606316
2152,0.00038599974
542,0.00038588935
843,0.00038557177
313,0.00038533367
2642,0.00038438628
2423,0.0003835588
2278,0.00038336698
1635,0.0003831389
2197,0.0003830677
2776,0.00038296496
119,0.00038281086
628,0.0003821983
2297,0.00038157534
1974,0.0003815139
1595,0.0003808244
613,0.00038079472
276,0.00038037307
2433,0.00037999384
60,0.0003767294
1337,0.00037651477
2633,0.00037620013
2128,0.0003751044
604,0.00037429956
62,0.00037418804
2276,0.00037400806
468,0.0003738601
890,0.00037366853
377,0.00037288532
2488,0.00037230432
2192,0.0003721315
2588,0.00037211372
975,0.0003716821
1830,0.00037139922
1760,0.0003712623
1333,0.00037121153
1156,0.00037121074
1048,0.00037090492
1602,0.0003707763
2218,0.0003707145
601,0.00037062532
2730,0.00037013955
2830,0.00036998515
818,0.00036934076
132,0.00036927406
436,0.00036916204
1070,0.00036905156
2364,0.00036890776
1341,0.00036849067
670,0.0003679991
2131,0.00036763234
1660,0.00036738574
1603,0.00036724485
2515,0.00036627543
2639,0.00036613602
1340,0.0003660891
1074,0.00036607237
1472,0.00036604417
1345,0.00036591588
1983,0.00036579173
67,0.00036577534
622,0.0003657377
282,0.00036559883
831,0.00036551792
1580,0.0003650422
357,0.0003647511
2702,0.00036451957
1598,0.00036405004
476,0.00036403615
2504,0.0003633816
1052,0.00036323903
173,0.00036313816
1234,0.0003623262
1986,0.00036210156
395,0.00036155144
1453,0.00036147723
519,0.00036131692
2353,0.00036112097
1656,0.00036036415
2481,0.00036031424
1583,0.00036027256
68,0.00036025423
520,0.00036017984
2139,0.0003600924
1958,0.00035966543
373,0.00035869822
2436,0.00035861976
1533,0.00035835666
1581,0.0003580729
1131,0.00035802764
2141,0.00035725196
57,0.0003571918
2390,0.00035687024
2761,0.00035674986
2177,0.00035673316
2203,0.0003555046
69,0.00035529866
598,0.0003550043
83,0.00035455756
82,0.00035271837
59,0.00035232736
2093,0.00035232332
2687,0.00035219608
907,0.00035201377
95,0.00035201176
2181,0.0003516801
543,0.00035150925
510,0.00035117305
2182,0.0003510457
910,0.00035096245
277,0.00035076943
1415,0.00035068288
825,0.0003506267
2061,0.00035057502
366,0.0003505367
2766,0.0003500121
2125,0.00034993122
1541,0.00034963977
1577,0.00034955423
1932,0.00034817678
528,0.0003480376
1121,0.00034783027
1863,0.00034778827
548,0.00034775873
616,0.00034773827
58,0.0003473589
305,0.00034725835
2637,0.0003472277
1038,0.00034686542
1362,0.00034624664
2388,0.00034601818
1636,0.00034525312
2175,0.00034518275
2493,0.0003450078
2494,0.0003445627
2638,0.00034449244
1763,0.00034425757
1584,0.00034391112
2782,0.0003435682
2621,0.00034324033
2609,0.00034298346
108,0.0003426943
2196,0.00034260162
129,0.00034226384
903,0.00034212714
2402,0.00034192717
1710,0.00034190464
2668,0.00034184643
1145,0.00034177987
2132,0.00034108866
2380,0.000340539
1535,0.0003395984
1267,0.0003386542
5,0.0003384469
2225,0.0003380345
1012,0.00033765458
703,0.0003372506
1859,0.00033715714
2053,0.00033700338
1069,0.00033688152
812,0.00033672468
839,0.00033648085
796,0.00033633565
1464,0.0003360734
1582,0.0003360084
2137,0.0003359477
291,0.00033580253
70,0.00033556257
530,0.00033540063
1910,0.00033521486
744,0.000335142
1655,0.00033479586
2025,0.00033449935
1005,0.00033418226
1049,0.00033394052
2059,0.00033386404
2298,0.00033383042
384,0.0003332891
1180,0.0003332551
1042,0.0003331098
1953,0.00033296007
1300,0.00033282512
2600,0.00033278693
2179,0.00033202305
1640,0.0003314458
2185,0.00033115438
1233,0.00033113183
1147,0.00033095496
269,0.00033036192
1116,0.0003302467
1106,0.00033005333
160,0.00032979748
1429,0.00032944162
2420,0.00032943857
2214,0.0003274376
1330,0.000327239
2209,0.00032715185
2867,0.00032712426
2030,0.00032701908
169,0.00032634684
2576,0.00032632405
1682,0.00032592114
503,0.0003258902
483,0.00032558836
2507,0.00032552262
17,0.00032546933
2696,0.00032465425
407,0.00032457415
901,0.00032391783
336,0.00032376312
113,0.0003232942
2682,0.00032328712
1765,0.00032316818
1547,0.0003225952
917,0.0003222172
175,0.00032175056
168,0.0003214269
100,0.0003212943
2762,0.0003212745
1661,0.00032109726
1236,0.00032087596
1537,0.00032068734
1711,0.00032068253
1057,0.00032013253
793,0.00032002252
74,0.00031968596
1658,0.00031939842
1657,0.00031905473
2108,0.0003190338
2490,0.00031888887
1576,0.0003187415
1130,0.00031861875
590,0.0003184652
973,0.00031809483
2281,0.00031805327
133,0.00031774378
2107,0.00031767384
2685,0.00031753472
1900,0.0003172671
87,0.00031689557
849,0.00031667986
1594,0.00031658937
1712,0.0003165766
821,0.00031612045
1667,0.00031602834
385,0.0003159025
1675,0.00031588026
77,0.0003158354
1322,0.0003157748
90,0.0003156341
0,0.00031535866
1422,0.0003150735
362,0.00031498767
770,0.00031489116
1329,0.0003147131
109,0.00031458234
2352,0.00031409255
559,0.00031391368
2540,0.00031385754
2851,0.0003138505
1405,0.0003137942
540,0.00031365379
271,0.00031339866
2415,0.000313162
595,0.00031248515
2753,0.0003123768
2159,0.00031209842
1971,0.00031149233
524,0.00031141017
2290,0.0003113521
2279,0.0003111937
278,0.0003109402
1209,0.00031081837
544,0.0003103788
2719,0.00031013179
950,0.0003098656
2613,0.0003098226
319,0.00030976057
844,0.0003096505
298,0.00030949377
535,0.00030947835
463,0.00030941478
2400,0.00030933722
1759,0.0003092842
512,0.00030922823
1073,0.00030921533
1822,0.00030883125
1474,0.00030823905
1031,0.00030818832
614,0.0003080604
889,0.00030795293
287,0.00030735487
419,0.0003073106
2300,0.00030728168
1292,0.00030717734
804,0.00030717338
1519,0.00030714777
504,0.00030712917
912,0.0003070354
388,0.00030652224
577,0.00030620839
1699,0.00030620545
2130,0.00030607803
2138,0.00030578597
1191,0.00030563714
877,0.00030547817
258,0.0003053174
63,0.0003052462
171,0.0003050993
1044,0.00030478465
1374,0.00030467866
1904,0.00030453224
314,0.00030450776
116,0.00030395554
1528,0.00030385278
2046,0.0003035734
1390,0.0003035676
852,0.0003032016
2683,0.0003030132
2512,0.00030297937
2468,0.00030295394
2496,0.00030276697
1722,0.00030275882
420,0.0003022237
801,0.00030205492
1172,0.0003019635
304,0.00030165035
143,0.00030152974
2694,0.0003015061
2252,0.00030110398
73,0.00030078847
1608,0.00030045598
814,0.00030034073
