day,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
2023-06-16,0.9165678133649664,0.817925194071983,0.8644415439119896,2834.0,0.9038210624417521,0.958300395256917,0.9302637889688249,5060.0,0.9079047377755257,0.9101944379033593,0.88811279466445,0.8973526664404072,7894.0,0.9083972332191007,0.9079047377755257,0.9066331527272401,7894.0
2023-06-17,0.9079801450935472,0.8505007153075823,0.8783010156971376,2796.0,0.9302519606207241,0.9585625859697386,0.9441951054280633,5816.0,0.9234788666976312,0.9191160528571356,0.9045316506386605,0.9112480605626004,8612.0,0.9230211203729319,0.9234788666976312,0.9228017154039495,8612.0
2023-06-18,0.9075856757797459,0.8602189781021898,0.8832677534195241,2740.0,0.9363258520365753,0.9591280653950953,0.9475898039875494,5872.0,0.9276590803529958,0.9219557639081606,0.9096735217486426,0.9154287787035368,8612.0,0.9271818572683783,0.9276590803529958,0.9271250549679966,8612.0
2023-06-19,0.9348906560636183,0.7259745272095716,0.817293069737128,2591.0,0.8924242424242425,0.9782428168078392,0.9333650265430632,6021.0,0.9023455643288435,0.9136574492439304,0.8521086720087054,0.8753290481400956,8612.0,0.9052006564673941,0.9023455643288435,0.8984437027989645,8612.0
2023-06-20,0.9330495356037152,0.7671014953865734,0.8419766020604156,3143.0,0.8785666887856669,0.9683671603583837,0.9212838131686527,5469.0,0.8949140733859731,0.905808112194691,0.8677343278724785,0.8816302076145341,8612.0,0.8984505238471074,0.8949140733859731,0.8923401805033961,8612.0
2023-06-21,0.9005076142131979,0.8726020659124447,0.8863352485635774,2033.0,0.9537747635195432,0.9646209386281589,0.9591671901642287,5540.0,0.9399181301993926,0.9271411888663705,0.9186115022703019,0.922751219363903,7573.0,0.9394749992861087,0.9399181301993926,0.9396151847140605,7573.0
2023-06-22,0.8521400778210116,0.8957055214723927,0.8733798604187437,978.0,0.9287709497206704,0.8974358974358975,0.91283459162663,1482.0,0.8967479674796748,0.890455513770841,0.8965707094541451,0.8931072260226869,2460.0,0.8983055055264159,0.8967479674796748,0.897148930195202,2460.0
2023-06-23,0.9477071600965407,0.8029993183367417,0.8693726937269373,2934.0,0.9056480574600065,0.9771046143008102,0.9400203320908167,5678.0,0.917789131444496,0.9266776087782735,0.8900519663187759,0.904696512908877,8612.0,0.9199770643266566,0.917789131444496,0.9159515709482688,8612.0
2023-06-24,0.9043062200956937,0.8784860557768924,0.8912091613337825,3012.0,0.9356313753077735,0.95,0.9427609427609428,5600.0,0.9249883882954018,0.9199687977017337,0.9142430278884461,0.9169850520473626,8612.0,0.9246755732294196,0.9249883882954018,0.9247309885507005,8612.0
2023-06-25,0.9144851657940664,0.880672268907563,0.8972602739726028,1190.0,0.9643395278754395,0.9751142712036567,0.9696969696969697,3938.0,0.953198127925117,0.9394123468347529,0.9278932700556098,0.9334786218347862,5128.0,0.9527703603877574,0.953198127925117,0.9528873620698254,5128.0
macro avg,0.9119220063926103,0.8352186140483934,0.8702837222841838,2425.1,0.9229554480192395,0.9586876745356496,0.9401177564435741,5047.6,0.9188944067885052,0.9174387272059249,0.8969531442920216,0.9052007393638789,7472.7,0.9197454893931271,0.9188944067885052,0.9177677842879604,7472.7
fold-weighted avg,0.9168542438006057,0.8265638530369882,0.8679450616819481,24251.0,0.9212235148749618,0.9633092955067755,0.9415025620778585,50476.0,0.918931577609164,0.9185703821675832,0.8953259102006682,0.9047093389220763,74727.0,0.9198055642972026,0.918931577609164,0.9176310973850272,74727.0
bootstrap final results,-,-,"0.8687 (0.8531, 0.8825)",-,-,-,"0.9414 (0.9336, 0.9495)",-,"0.9189 (0.9096, 0.9289)",-,-,-,-,-,-,"0.9178 (0.9078, 0.9281)",-
