representation,n_features,mean_accuracy,mean_threat_precision,mean_threat_recall,mean_threat_f1,mean_auc,total_false_proximity_alerts,total_missed_threats
top_1000,1000,0.9183725357244068,0.9088123308527184,0.8376813440209924,0.8701516297570977,0.9591975932996298,1918,4145
top_1500,1500,0.9192766735890252,0.9117907702533212,0.8360808223999232,0.8708068327746259,0.9599938148937778,1863,4175
top_500,500,0.9180827958579101,0.9087951368270867,0.8359195332492213,0.8694090340260828,0.9588595530867747,1932,4178
