day,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
2023-06-16,0.8861111111111111,0.7879322512350035,0.8341426970489354,2834.0,0.8881652400446595,0.9432806324110672,0.9148936170212766,5060.0,0.8875095008867494,0.8871381755778853,0.8656064418230354,0.8745181570351059,7894.0,0.8874277937059621,0.8875095008867494,0.8859034843633573,7894.0
2023-06-17,0.9176376054640418,0.8168812589413448,0.8643330179754021,2796.0,0.9163808590560183,0.9647524071526823,0.93994471898819,5816.0,0.9167440780306549,0.9170092322600301,0.8908168330470135,0.902138868481796,8612.0,0.9167888784425526,0.9167440780306549,0.9153963776003875,8612.0
2023-06-18,0.8841580360567702,0.8412408759124088,0.8621657003927435,2740.0,0.9275603663613655,0.9485694822888283,0.93794729308748,5872.0,0.9144217371110079,0.9058592012090678,0.8949051791006186,0.9000564967401118,8612.0,0.9137514503099731,0.9144217371110079,0.9138365680545518,8612.0
2023-06-19,0.9254115226337448,0.6943265148591278,0.7933847850055127,2591.0,0.8812237552489502,0.9759176216575319,0.9261565135156434,6021.0,0.8911983279145379,0.9033176389413475,0.8351220682583298,0.8597706492605781,8612.0,0.8945180545167165,0.8911983279145379,0.8862109087119104,8612.0
2023-06-20,0.8946043165467625,0.791282214444798,0.8397771399628566,3143.0,0.887517146776406,0.9464253062717133,0.916025130519423,5469.0,0.8898049233627496,0.8910607316615843,0.8688537603582556,0.8779011352411399,8612.0,0.8901036510249233,0.8898049233627496,0.8881979783690179,8612.0
2023-06-21,0.8863868986693961,0.8519429414658141,0.8688236769500878,2033.0,0.9464317494216052,0.959927797833935,0.9531320010753652,5540.0,0.9309388617456754,0.9164093240455007,0.9059353696498745,0.9109778390127266,7573.0,0.930312486041275,0.9309388617456754,0.9304991180769908,7573.0
2023-06-22,0.6821192052980133,0.9478527607361963,0.7933247753530167,978.0,0.9536784741144414,0.708502024291498,0.8130081300813008,1482.0,0.8036585365853659,0.8178988397062273,0.8281773925138471,0.8031664527171587,2460.0,0.8457171062679103,0.8036585365853659,0.8051827963722513,2460.0
2023-06-23,0.934949494949495,0.7886843899113838,0.8556110186725827,2934.0,0.8989734397914291,0.971644945403311,0.9338975878121033,5678.0,0.9093125870877845,0.916961467370462,0.8801646676573474,0.8947543032423431,8612.0,0.9112300289500177,0.9093125870877845,0.9072263391061868,8612.0
2023-06-24,0.9001055223355611,0.849601593625498,0.8741246797608881,3012.0,0.9214768590743629,0.9492857142857143,0.9351745975899376,5600.0,0.9144217371110079,0.910791190704962,0.8994436539556061,0.9046496386754128,8612.0,0.914002350684062,0.9144217371110079,0.913822722009225,8612.0
2023-06-25,0.8963093145869947,0.8571428571428571,0.8762886597938144,1190.0,0.9573934837092731,0.9700355510411376,0.963673057517659,3938.0,0.9438377535101404,0.926851399148134,0.9135892040919973,0.9199808586557368,5128.0,0.9432183352585103,0.9438377535101404,0.9433946968914158,5128.0
macro avg,0.880779302765189,0.8226887658274432,0.846197615091584,2425.1,0.9178801373598512,0.933834148263742,0.9233852647208378,5047.6,0.9001848043345673,0.8993297200625202,0.8782614570455924,0.8847914399062111,7472.7,0.9047070135201902,0.9001848043345673,0.8989670989555295,7472.7
fold-weighted avg,0.8947686346214093,0.8106882190425138,0.848057771000748,24251.0,0.9137321043560581,0.9514818923844995,0.9313269392345748,50476.0,0.9057904104272887,0.9046301478385486,0.8804744242465181,0.8896053028298329,74727.0,0.9075779284285491,0.9057904104272887,0.9043037669027733,74727.0
bootstrap final results,-,-,"0.8481 (0.8307, 0.8618)",-,-,-,"0.9317 (0.9205, 0.9418)",-,"0.9058 (0.8925, 0.9174)",-,-,-,-,-,-,"0.9046 (0.8917, 0.9166)",-
